City,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,latitude,longitude
Bend,76636,77518,78559,80852,83472,86242,90615,94520,44.0578194,-121.3153687
Portland,66086,66164,66267,66385,66661,66777,66892,66882,45.5117912,-122.6756287
Salida,5236,5269,5309,5398,5385,5453,5724,5856,38.5366096,-105.9923401
Saint Petersberg,245216,245877,246782,248661,252635,255668,259919,263255,27.7676,-82.6403
Charleston,120338,122668,124894,126876,128981,131794,133859,134875,32.7811508,-79.9316025
Bishop,3872,3848,3842,3838,3828,3796,3757,3760,37.3614,-118.3997
Santa Fe,81030,81621,82022,82339,82594,82880,83287,83776,35.6916809,-105.9379578
Grand Rapids,187992,189008,190617,192725,194054,194847,196251,198829,42.9664192,-85.6719513
Dayton,142330,141958,141856,141877,140973,140677,140743,140371,39.759201,-84.1938095
Missoula,66962,67551,68380,68803,69530,70592,72003,73340,46.8727798,-113.9962463
Kansas City,460734,462219,464588,467372,470941,475310,482118,488943,39.1034508,-94.583107
Seattle,610333,622532,635974,654176,669641,685447,707255,724745,47.603569,-122.3294525
Birmingham,211739,211516,210660,211094,210998,211621,211263,210710,33.5186,-86.8104
Spearfish,10591,10685,10744,11097,11101,11239,11450,11609,44.4905815,-103.8590927
Austin,806463,828700,854350,874910,900621,919974,938200,950715,30.2675896,-97.7429886
San Luis Obispo,45204,45408,45811,46332,46573,47115,47438,47541,35.2858315,-120.6627884
Minneapolis,383074,388086,392953,400464,407395,411426,415622,422331,44.9790192,-93.2649384
Bentonville,35795,37109,38582,40316,41828,44586,47017,49298,36.3723297,-94.2094879
Reno,225767,227492,229556,231768,235101,239203,243698,248853,39.5275612,-119.8134995
Flagstaff,66145,66080,67900,68028,68502,69895,71060,71975,35.1982002,-111.6512985
Fort Collins,145045,146291,149020,152059,156058,160234,162308,165080,40.5814705,-105.076622
Boise,208579,211430,214600,216358,218437,219724,223361,226570,43.6076088,-116.1933975
